Designator,Mid X,Mid Y,Layer,Rotation
C99,104.900000,-152.340000,Top,180.000000
C100,92.200000,-152.340000,Top,180.000000
C101,103.200000,-159.260000,Top,0.000000
C102,115.900000,-159.260000,Top,0.000000
C103,128.600000,-159.260000,Top,0.000000
C104,141.300000,-159.260000,Top,0.000000
C105,154.000000,-159.260000,Top,0.000000
C106,166.700000,-159.260000,Top,0.000000
C107,179.400000,-159.260000,Top,0.000000
C108,192.100000,-159.260000,Top,0.000000
C109,168.400000,-177.740000,Top,180.000000
C110,155.700000,-177.740000,Top,180.000000
C111,143.000000,-177.740000,Top,180.000000
C112,130.300000,-177.740000,Top,180.000000
C211,92.123600,-64.925000,Top,180.000000
C212,92.123600,-68.375000,Top,180.000000
D229,117.725000,-170.874900,Top,90.000000
R1,121.618400,-174.975000,Top,0.000000
U1,129.450000,-35.150000,Top,0.000000
U2,142.150000,-35.150000,Top,0.000000
U3,154.850000,-35.150000,Top,0.000000
U4,167.550000,-35.150000,Top,0.000000
U5,192.950000,-47.850000,Top,180.000000
U6,180.250000,-47.850000,Top,180.000000
U7,167.550000,-47.850000,Top,180.000000
U8,154.850000,-47.850000,Top,180.000000
U9,142.150000,-47.850000,Top,180.000000
U10,129.450000,-47.850000,Top,180.000000
U11,116.750000,-47.850000,Top,180.000000
U12,104.050000,-47.850000,Top,180.000000
U13,91.350000,-60.550000,Top,0.000000
U14,104.050000,-60.550000,Top,0.000000
U15,116.750000,-60.550000,Top,0.000000
U16,129.450000,-60.550000,Top,0.000000
U17,142.150000,-60.550000,Top,0.000000
U18,154.850000,-60.550000,Top,0.000000
U19,167.550000,-60.550000,Top,0.000000
U20,180.250000,-60.550000,Top,0.000000
U21,192.950000,-60.550000,Top,0.000000
U22,205.650000,-60.550000,Top,0.000000
U23,205.650000,-73.250000,Top,180.000000
U24,192.950000,-73.250000,Top,180.000000
U25,180.250000,-73.250000,Top,180.000000
U26,167.550000,-73.250000,Top,180.000000
U27,154.850000,-73.250000,Top,180.000000
U28,142.150000,-73.250000,Top,180.000000
U29,129.450000,-73.250000,Top,180.000000
U30,116.750000,-73.250000,Top,180.000000
U31,104.050000,-73.250000,Top,180.000000
U32,91.350000,-73.250000,Top,180.000000
U33,78.650000,-85.950000,Top,0.000000
U34,91.350000,-85.950000,Top,0.000000
U35,104.050000,-85.950000,Top,0.000000
U36,116.750000,-85.950000,Top,0.000000
U37,129.450000,-85.950000,Top,0.000000
U38,142.150000,-85.950000,Top,0.000000
U39,154.850000,-85.950000,Top,0.000000
U40,167.550000,-85.950000,Top,0.000000
U41,180.250000,-85.950000,Top,0.000000
U42,192.950000,-85.950000,Top,0.000000
U43,205.650000,-85.950000,Top,0.000000
U44,218.350000,-85.950000,Top,0.000000
U45,218.350000,-98.650000,Top,180.000000
U46,205.650000,-98.650000,Top,180.000000
U47,192.950000,-98.650000,Top,180.000000
U48,180.250000,-98.650000,Top,180.000000
U49,167.550000,-98.650000,Top,180.000000
U50,154.850000,-98.650000,Top,180.000000
U51,142.150000,-98.650000,Top,180.000000
U52,129.450000,-98.650000,Top,180.000000
U53,116.750000,-98.650000,Top,180.000000
U54,104.050000,-98.650000,Top,180.000000
U55,91.350000,-98.650000,Top,180.000000
U56,78.650000,-98.650000,Top,180.000000
U57,78.650000,-111.350000,Top,0.000000
U58,91.350000,-111.350000,Top,0.000000
U59,104.050000,-111.350000,Top,0.000000
U60,116.750000,-111.350000,Top,0.000000
U61,129.450000,-111.350000,Top,0.000000
U62,142.150000,-111.350000,Top,0.000000
U63,154.850000,-111.350000,Top,0.000000
U64,167.550000,-111.350000,Top,0.000000
U65,180.250000,-111.350000,Top,0.000000
U66,192.950000,-111.350000,Top,0.000000
U67,205.650000,-111.350000,Top,0.000000
U68,218.350000,-111.350000,Top,0.000000
U69,218.350000,-124.050000,Top,180.000000
U70,205.650000,-124.050000,Top,180.000000
U71,192.950000,-124.050000,Top,180.000000
U72,180.250000,-124.050000,Top,180.000000
U73,167.550000,-124.050000,Top,180.000000
U74,154.850000,-124.050000,Top,180.000000
U75,142.150000,-124.050000,Top,180.000000
U76,129.450000,-124.050000,Top,180.000000
U77,116.750000,-124.050000,Top,180.000000
U78,104.050000,-124.050000,Top,180.000000
U79,91.350000,-124.050000,Top,180.000000
U80,78.650000,-124.050000,Top,180.000000
U81,91.350000,-136.750000,Top,0.000000
U82,104.050000,-136.750000,Top,0.000000
U83,116.750000,-136.750000,Top,0.000000
U84,129.450000,-136.750000,Top,0.000000
U85,142.150000,-136.750000,Top,0.000000
U86,154.850000,-136.750000,Top,0.000000
U87,167.550000,-136.750000,Top,0.000000
U88,180.250000,-136.750000,Top,0.000000
U89,192.950000,-136.750000,Top,0.000000
U90,205.650000,-136.750000,Top,0.000000
U91,205.650000,-149.450000,Top,180.000000
U92,192.950000,-149.450000,Top,180.000000
U93,180.250000,-149.450000,Top,180.000000
U94,167.550000,-149.450000,Top,180.000000
U95,154.850000,-149.450000,Top,180.000000
U96,142.150000,-149.450000,Top,180.000000
U97,129.450000,-149.450000,Top,180.000000
U98,116.750000,-149.450000,Top,180.000000
U99,104.050000,-149.450000,Top,180.000000
U100,91.350000,-149.450000,Top,180.000000
U101,104.050000,-162.150000,Top,0.000000
U102,116.750000,-162.150000,Top,0.000000
U103,129.450000,-162.150000,Top,0.000000
U104,142.150000,-162.150000,Top,0.000000
U105,154.850000,-162.150000,Top,0.000000
U106,167.550000,-162.150000,Top,0.000000
U107,180.250000,-162.150000,Top,0.000000
U108,192.950000,-162.150000,Top,0.000000
U109,167.550000,-174.850000,Top,180.000000
U110,154.850000,-174.850000,Top,180.000000
U111,142.150000,-174.850000,Top,180.000000
U112,129.450000,-174.850000,Top,180.000000
U226,121.815000,-170.985100,Top,90.000000
